stock,jan,feb,mar,apr,may,jun
BBSE3,,,6089.379837036133,6379.388977050781,5786.77970123291,5505.540054321289
CVCB3,,,615.0899941921234,913.5,631.3299787044525,686.1400232315063
EGIE3,,,6215.112247467041,6226.1882400512695,6355.933513641357,6934.949798583984
ENBR3,,,7350.063974380493,7627.142953872681,8364.769882202148,8717.0
ITSA4,,,11263.389616012573,11673.96333694458,11395.180168151855,12171.492919921875
PETR4,,,4596.192584991455,4747.334949493408,4270.23458480835,5344.198348999023
TAEE11,,,5748.651054382324,5994.375114440918,5630.638938903809,5981.039703369141
UNIP6,,,15197.084548950195,16356.654602050781,13426.104858398438,13267.659881591797
VIVT3,,,4603.445240020752,4943.915599822998,4577.841026306152,4816.67321395874
WIZC3,,,2406.374167919159,2539.462067604065,2115.019446372986,2267.8699703216553
BRAP4,,,3677.668685913086,4241.418304443359,3565.982551574707,2980.600128173828
ALUP11,,,2051.8829307556152,2128.5958976745605,2001.9825286865234,2375.5399436950684
TUPY3,,,2624.7291564941406,2611.1948013305664,2341.4710998535156,2545.9999084472656
BPAC11,,,3537.600067138672,3815.6800537109375,3458.399932861328,4628.799865722656
HSML11,,,1824.223388671875,1836.0313110351562,1861.6195678710938,2094.0
RBRP11,,,1151.6339492797852,1216.0759506225586,1123.262306213379,1360.7933883666992
RDOR3,,,3985.7998809814453,4976.399940490723,3313.4399642944336,4524.0
ABCB4,,,3067.349935531616,3243.1100902557373,2844.2699871063232,2812.159896850586
CCRO3,,,2169.873996734619,2321.903371810913,2527.2417755126953,2686.8599395751953
MRVE3,,,1752.3000283241272,2084.9399943351746,1894.8600339889526,2993.7599773406982
ODPV3,,,1236.7329483032227,1219.5859336853027,1182.9957962036133,1148.0400123596191
VALE3,,,1085.3251419067383,1202.2279434204102,1043.7700119018555,829.5300178527832
CPLE6,,,697.9500188827515,769.2299981117249,687.0600056648254,734.5800075531006
